Name/Flüssigkeiten;Cognac;Gin;Orangensaft;Zitronensaft;Rum;Wasser mit Kohlensäure;Wodka;Blue Curacao;Zuckersirup;Ananassaft;Cointreau;Grenadine(Sirup);Benedictine(Likör);Calvados;Apricot Brandy Likör;Cachaca;Kirschlikör;Dunkler Rum;Angostura;Kakaolikör;Sahne;Bitter Lemon;Limonade;Tequila;Ginger Ale;Limettensirup;Honig;Aperol;Tomatensaft;Worcestersauce;Tabasco;Brauner Rum;Minzlikör;Pfirsichlikör;Heißer Kakao;Heißer Kaffee;Kiwilikör;Batida de coco;Maracujasaft;Kaffee kalt;Cola;Heißer schwarzer Tee;Chambord(Likör);Limettensaft;Cranberrysaft;Creme de cassis(Likör);Grapefruitsaft;Tonic water;Trockener Wermut;Galliano;Cream of coconut;Maracujasirup;Heißes Wasser;Whiskey;Pisang Ambon;Triple Sec Curacao;Amarula wild fruit cream;Süßer Vermouth;Mandelsirup;Heiße Milch;Maraschino;Amaretto;Roter Wermut;Campari;Bananenlikör;Creme de bananes;Kahlua;Espresso
April Shower;x;;x;;;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angel‘s face;;x;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arranco;;;x;x;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Atlas;;;;;x;;;;;;x;;;x;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bermuda;;x;;x;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandy Alexander;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B&B;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Big Ben;;1;1;1;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blue lady;;x;;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blue moon;;x;;;;;;X;;x;x;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blue margarita;;;;x;;;;x;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brazilian macho;;;;;;;;;;;;;;;;x;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandy flip;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandy sour;x;;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Batida de Mel;;;;;;;;;;;;;;;;x;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bologna;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;
Brandy Cocktail;x;;;;;;;;x;;x;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Butterfly flip;x;;;;;;;;;;;;;;;;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloody mary;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brandy julep;x;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Black mint;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café flambé;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carneval;;;x;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caipirinha;;;;;;;;;x;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Café cobbler;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
